number,code,title,doi,zenodo_id,slug,portfolios,tags,explainer,status,notes,hotlogiq_community
"473","ProjHierarchy","The Projective Hierarchy of Computation","10.5281/zenodo.21219706","21219706","10.5281-zenodo.21219706","A|F","projective-hierarchy|clifford|magic|simulability|grover|palmer|invariant-set|eigenphase|mana|twist|origami-isa","True","published","",""
"476","CliffordCohom","The Clifford Hierarchy as Group Cohomology","10.5281/zenodo.21219713","21219713","10.5281-zenodo.21219713","A|F","clifford-hierarchy|group-cohomology|schur-multiplier|symplectic|metaplectic|twist|magic|obstruction|eastin-knill|origami-isa","True","published","","true"
"477","ThreeFormsMge","The Three Forms of the Maslov-Gibbs Einsum","10.5281/zenodo.21225240","21225240","10.5281-zenodo.21225240","A|F","mge|maslov|clifford|tropical|metaplectic|stabiliser|h0|h1|h2|weil-representation|twist|origami-isa","True","published","","true"
"478","DerivPricing","Cohomological Obstruction Theory for Derivatives Pricing","10.5281/zenodo.21158959","21158959","10.5281-zenodo.21158959","A|G","derivatives-pricing|cohomology|h0|h1|h2|arbitrage|gauge-theory|credit-derivatives|correlation|2008-crisis|obstruction-theory|soitheach-folamh","True","published","","true"
"480","QecCohom","Quantum Error Correction as Cohomological Encoding","10.5281/zenodo.21164006","21164006","10.5281-zenodo.21164006","B|F","qec|cohomology|steane-code|css-codes|topological-codes|toric-code|chain-complex|h0|h1|h2|beta-threshold","True","published","",""
"491","TropDft","G-Walk Chemistry as the Tropical Degeneration of Density Functional Theory","10.5281/zenodo.21224113","21224113","10.5281-zenodo.21224113","A|B","g-walk-chemistry|tropical-geometry|dft|tropical-degeneration|tanabe-sugano|derivative-discontinuity|newton-polytope|spin-crossover|tropical-variety","True","published","","true"
"509","MetabComp","Metabolism as Computation: Biochemical Pathways as Origami ISA Programmes","10.5281/zenodo.21219724","21219724","10.5281-zenodo.21219724","A|B","metabolism|biochemistry|isa|glycolysis|krebs-cycle|electron-transport|calvin-cycle|nitrogen-fixation|atp|cofactor|origami-isa|orbit-opcode|h0|h1|aerobic|anaerobic","True","published","",""
"543","AdelicBeta","The Adelic Beta-Plane: A Unified Parameter Space for Classical Statistical Quantum and p-adic Computation","10.5281/zenodo.21245459","21245459","10.5281-zenodo.21245459","A","complex-beta-plane|adelic|mge|pt-symmetry|population-inversion|p-adic|ambient|meld|forge|origami|tropical|maslov|exceptional-point|palmer|quantum-chaos","True","published","",""
"548","GwalkNucleon","G-Walk Nucleonics: Nuclear Reactions as Orbit-Occupancy Programmes in the Origami ISA","10.5281/zenodo.21249152","21249152","10.5281-zenodo.21249152","A|E","nuclear-physics|shell-model|magic-numbers|cno-cycle|r-process|tropical-geometry|origami-isa|g-walk|nucleosynthesis|kilonova|gw170817|trs-framework","True","published","",""
"550","MeanFieldHk","Mean-Field Theory as an H^k ISA Programme: From Thomas-Fermi to the Adelic Atom","10.5281/zenodo.21250670","21250670","10.5281-zenodo.21250670","A","mean-field-theory|thomas-fermi|scott-correction|schwinger|fefferman-seco|adelic-atom|number-theory|riemann-zeta|van-der-corput|h-k-ladder|trs-framework|quantum-chemistry|atomic-physics","True","published","",""
"570","UnivBonding","A Universal Theory of Chemical Bonding from the Grassmannian","10.5281/zenodo.21277821","21277821","10.5281-zenodo.21277821","A|B","chemical-bonding|grassmannian|schmidt-decomposition|casscf|lewis-theory|mo-theory|vb-theory|resonance|benzene|noon-bond-order|h-k-ladder|trs-framework|quantum-chemistry","True","published","","true"
"574","GrassParent","The Grassmannian as the Common Parent of Bonding and Scattering","10.5281/zenodo.21279006","21279006","10.5281-zenodo.21279006","A|B|E","grassmannian|bonding|scattering|amplituhedron|twistor|leading-singularity|unitarity|h-k-ladder|trs-framework|quantum-chemistry|high-energy-physics","True","published","",""
"575","NuclearBond","Nuclear Bonding as H2: The ISA Theory of the Strong-Force Bond","10.5281/zenodo.21279217","21279217","10.5281-zenodo.21279217","A|E","nuclear-bonding|tensor-force|deuteron|pion-exchange|hoyle-state|h2-obstruction|bind-opcode|nuclear-physics|h-k-ladder|trs-framework","True","published","","true"
"588","TopoActSpace2","The Topological Active Space: Weak Lifting and C/T Skeleton Pre-Screening for CASSCF","10.5281/zenodo.21300668","21300668","10.5281-zenodo.21300668","","","True","published","",""
"594","GrassCompress2","Grassmannian Compression: Active Space Selection as Geometry, Transport, and Topology","10.5281/zenodo.21309089","21309089","10.5281-zenodo.21309089","","","True","published","",""
"598","OrbitProc2","The Orbit Processing Unit: Schubert Cells, SVD Memory, and Turing Completeness on the Grassmannian","10.5281/zenodo.21360838","21360838","10.5281-zenodo.21360838","","","True","published","",""
"605","IsaRosetta2","One Programme, Many Backends: The Origami ISA as a Hardware-Independent Quantum Programming Language","10.5281/zenodo.21360909","21360909","10.5281-zenodo.21360909","","","True","published","",""
"615","RavenEnzyme","The Raven ISA: Enzymes as Molecular Programs","10.5281/zenodo.21416925","21416925","10.5281-zenodo.21416925","","","True","published","",""
"622","PentagonIsa2","The Pentagon ISA: Confluence, Coherence, and Uniqueness for the Motive Instruction Set Architecture","10.5281/zenodo.21416916","21416916","10.5281-zenodo.21416916","","","True","published","",""
"699","BondsHitchin","Chemical Bonds as Hitchin Branch Points","10.5281/zenodo.21562293","21562293","10.5281-zenodo.21562293","A|E","chemical-bonding|hitchin-system|spectral-curve|symmetry-breaking|symmetry-making|branch-points|epsilon-crossing|pat-classification|enzymes|catalysis|twistor-chemistry","True","published","",""
"705","PorphyrinPat","The Porphyrin Ring as PAT-2: Metal Selectivity in Biological Macrocycle Catalysts from Hitchin Geometry","10.5281/zenodo.21613237","21613237","10.5281-zenodo.21613237","A|E","porphyrin|haem|chlorophyll|cobalamin|b12|blue-copper|hitchin-geometry|metal-selectivity|entatic-state|soret-band|pat-2|macrocycle-catalysis|origami-isa","True","published","",""
"709","PeriodicTableS3","Filling by Winding: A Topological Derivation of the Periodic Table from S³ Geometry","10.5281/zenodo.21608229","21608229","10.5281-zenodo.21608229","A|B|E","periodic-table|aufbau|madelung-rule|torus-knots|s3-geometry|winding-number|kustaanheimo-stiefel|janet-table|anomalous-configurations|electron-configuration|orbital-topology|so4-symmetry","True","published","",""
"711","WindingBranching","Winding-Shell Branching: Molecular Orbital Theory from SO(4) to G","10.5281/zenodo.21612629","21612629","10.5281-zenodo.21612629","A|E","molecular-orbital-theory|electron-counting|octet-rule|huckel-rule|18-electron-rule|walsh-diagrams|jahn-teller|casscf|active-space|winding-number|point-groups|branching-rules|chemical-bonding|origami-isa","True","published","",""
"718","TwistorWinding","Winding Numbers as Chern Classes: A Twistor Foundation for the w-Shell Framework","10.5281/zenodo.21630153","21630153","10.5281-zenodo.21630153","A|B|E","twistor-theory|chern-classes|winding-numbers|hydrogen-atom|fock-map|penrose-transform|hybridisation|18-electron-rule|line-bundles|pat-hierarchy|chemical-bonding|origami-isa|cp3|s3|borel-weil","True","published","",""
"668","MonadsEnzymes","Monads are Enzymes: A Tutorial on Monadic Structure in Chemistry and Quantum Computing","10.5281/zenodo.21500665","21500665","10.5281-zenodo.21500665","A|B|C","monads|enzymes|category-theory|chemistry|quantum-computing|qec|tutorial|origami-isa","True","published","",""
"669","EmbraceBath","Embrace the Bath: Why Dissipation Is a Feature, Not a Bug, for Quantum Computing","10.5281/zenodo.21500667","21500667","10.5281-zenodo.21500667","A|C","dissipation|open-quantum-systems|hot-quantum-computing|manifesto|origami-isa","True","published","",""
"670","HpuArchitecture","The Hot Processing Unit (HPU): Architecture and Programming Model for Dissipative Quantum Hardware","10.5281/zenodo.21500669","21500669","10.5281-zenodo.21500669","A|C","hpu|dissipative-quantum-computing|hardware|programming-model|origami-isa","True","published","",""
"700","EpsCycleCarnot","The epsilon-Cycle: A Molecular Carnot Engine from Hitchin Branch Points","10.5281/zenodo.21569564","21569564","10.5281-zenodo.21569564","A|E","epsilon-cycle|hitchin-system|carnot-engine|branch-points|molecular-machine|origami-isa","True","published","",""
"703","ReplEpsCycle","The Replication epsilon-Cycle: DNA Replication Fidelity as Hitchin Branch-Point Geometry","10.5281/zenodo.21572546","21572546","10.5281-zenodo.21572546","A|E","epsilon-cycle|dna-replication|fidelity|hitchin-system|branch-points|origami-isa","True","published","",""
"696","PostnikovIsa","The Origami ISA as a Postnikov Tower: The H^k Tier Hierarchy as Universal Truncation","10.5281/zenodo.21613232","21613232","10.5281-zenodo.21613232","A","postnikov-tower|h-k-ladder|origami-isa|universal-truncation|category-theory","True","published","",""
