number,code,title,doi,zenodo_id,slug,portfolios,tags,explainer,status,notes,hotlogiq_community
200,FanoFoam,The Fano-Foam Manifold,10.5281/zenodo.19869263,19869263,10.5281-zenodo.19869263,B,foundations|geometry|fano|g2,True,published,,
201,MgeInsum,The Maslov-Gibbs Einsum (MGE),10.5281/zenodo.17981393,17981393,10.5281-zenodo.17981393,A,core-engine|optimisation|ai-ml|tropical,True,published,,
202,TrsManifesto,Topological Resonance Synthesis (TRS),10.5281/zenodo.19858021,19858021,10.5281-zenodo.19858021,A,core-engine|optimisation|ai-ml|geometry,True,published,,
203,UrnNetwork,The Unitary Resonance Network (URN),10.5281/zenodo.20086746,20086746,10.5281-zenodo.20086746,C,hardware-ai|ai-ml|continual-learning,True,published,,
205,RpuHardware,The Resonance Processing Unit (RPU),10.5281/zenodo.19743800,19743800,10.5281-zenodo.19743800,C,hardware-ai|qec|hardware,True,published,,
206,FibTensorCode,Fibrational Tensor Codes (FTCs),10.5281/zenodo.19821692,19821692,10.5281-zenodo.19821692,C,hardware-ai|qec|fano|g2,True,published,,
207,SevenThreeOne,The 731-Calculus (Part 1),10.5281/zenodo.19713350,19713350,10.5281-zenodo.19713350,B,foundations|geometry|fano|category-theory,True,published,,
211,NonAssocCalc,Non-Associative Calculus,10.5281/zenodo.20025384,20025384,10.5281-zenodo.20025384,A|B,foundations|core-engine|calculus|g2|octonions,True,published,,
217,FibLatSurg,Fibrational Lattice Surgery (FLS),10.5281/zenodo.19922441,19922441,10.5281-zenodo.19922441,C,hardware-ai|qec|hardware,True,published,,
218,StaleGradRoute,Thermodynamic Routing of Stale Gradients,10.5281/zenodo.20077198,20077198,10.5281-zenodo.20077198,C,hardware-ai|ai-ml|optimisation|distributed,True,published,,
240,RiemannSpec,The Riemann Spectrometer,10.5281/zenodo.19824028,19824028,10.5281-zenodo.19824028,E,grand-challenges|number-theory|riemann|g2,True,published,,
258,OrigamiIsa,The Origami ISA,10.5281/zenodo.19916429,19916429,10.5281-zenodo.19916429,C,hardware-ai|hardware|instruction-set|fano,True,published,,
263,ArchInevit,The Architecture of Inevitability,10.5281/zenodo.19928880,19928880,10.5281-zenodo.19928880,B,foundations|geometry|magic-square|octonions,True,published,,
265,ZetaLadder,The ζ(21) Apéry Ladder,10.5281/zenodo.20029647,20029647,10.5281-zenodo.20029647,E,grand-challenges|number-theory|recurrence|g2,True,published,,
266,AperyPolyGeo,Geometric Shadows in Apéry's Polynomial,10.5281/zenodo.20031913,20031913,10.5281-zenodo.20031913,E,grand-challenges|number-theory|recurrence|g2,True,published,,
270,FanoMonogamy,The Fano Monogamy Paradox,10.5281/zenodo.20058092,20058092,10.5281-zenodo.20058092,F,quantum-foundations|entanglement|fano,True,published,,
275,VolumeThought,Cyclic Inconsistency in Multi-Agent Reasoning: Topological Diagnosis and Dykstra Correction (Volume of Thought v3.0),10.5281/zenodo.20059019,20059019,10.5281-zenodo.20059019,A|C,ai-ml|multi-agent|volume-of-thought|sheaf-cohomology|h1|condorcet|origami-isa|dykstra-projection,True,published,,
281,FrogCalc2,The 731 Frog Calculus (Part 2),10.5281/zenodo.20139448,20139448,10.5281-zenodo.20139448,B,foundations|geometry|fano|category-theory,True,published,,
286,ConservComp,Conserved Computation,10.5281/zenodo.20127517,20127517,10.5281-zenodo.20127517,A,core-engine|geometry|noether|g2,True,published,,
289,TempRation,The Temperature of Rationality: Maslov-Gibbs Ensemble as a Foundation for Heterogeneous-Agent Economics,10.5281/zenodo.20234841,20234841,10.5281-zenodo.20234841,G,economics|thermodynamics|agent-based-models|ai-ml,True,published,,
